2015-05-06 17:09:14,544 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 53 
2015-05-06 17:09:14,544 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 53 
2015-05-06 17:09:14,544 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 53 
2015-05-06 17:09:14,545 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 52 
2015-05-06 17:09:14,545 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 52 
2015-05-06 17:09:14,545 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 52 
2015-05-06 17:09:14,545 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 52 
2015-05-06 17:09:14,546 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 51 
2015-05-06 17:09:14,546 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 51 
2015-05-06 17:09:14,546 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 51 
2015-05-06 17:09:14,546 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 51 
2015-05-06 17:09:14,547 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 50 
2015-05-06 17:09:14,547 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 50 
2015-05-06 17:09:14,547 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 50 
2015-05-06 17:09:14,547 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 50 
2015-05-06 17:09:14,548 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 49 
2015-05-06 17:09:14,548 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 49 
2015-05-06 17:09:14,548 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 49 
2015-05-06 17:09:14,548 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 49 
2015-05-06 17:09:14,549 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 48 
2015-05-06 17:09:14,549 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 48 
2015-05-06 17:09:14,549 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 48 
2015-05-06 17:09:14,549 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 48 
2015-05-06 17:09:14,550 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 47 
2015-05-06 17:09:14,550 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 47 
2015-05-06 17:09:14,550 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 47 
2015-05-06 17:09:14,550 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 47 
2015-05-06 17:09:14,551 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 46 
2015-05-06 17:09:14,551 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 46 
2015-05-06 17:09:14,551 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 46 
2015-05-06 17:09:14,551 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 46 
2015-05-06 17:09:14,552 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 45 
2015-05-06 17:09:14,552 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 45 
2015-05-06 17:09:14,552 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 45 
